"Age","Attrition","BusinessTravel","DailyRate","Department","DistanceFromHome","Education","EducationField","EmployeeCount","EmployeeNumber","EnvironmentSatisfaction","Gender","HourlyRate","JobInvolvement","JobLevel","JobRole","JobSatisfaction","MaritalStatus","MonthlyIncome","MonthlyRate","NumCompaniesWorked","Over18","OverTime","PercentSalaryHike","PerformanceRating","RelationshipSatisfaction","StandardHours","StockOptionLevel","TotalWorkingYears","TrainingTimesLastYear","WorkLifeBalance","YearsAtCompany","YearsInCurrentRole","YearsSinceLastPromotion","YearsWithCurrManager","NotWorkingYears","YearsAtOtherCompanies","HazardRatio_CoxPH","Hazard_RSF_Current","Hazard_RSF_0","Hazard_RSF_1","Hazard_RSF_2","Hazard_RSF_3","Hazard_RSF_4","Hazard_RSF_5","Hazard_RSF_in_5_Years","Hazard_RSF_6"
41,TRUE,"Travel_Rarely",1102,"Sales",1,2,"Life Sciences",1,1,2,"Female",94,3,2,"Sales Executive",4,"Single",5993,19479,8,TRUE,TRUE,11,3,1,80,0,8,0,1,6,4,0,5,33,2,19.5584873647446,0.0287069611545597,0.0287069611545597,0.0287069611545597,0.10203264410955,0.181975149259116,0.218872814230311,0.235259622743435,0.235259622743435,0.324873680997889
49,FALSE,"Travel_Frequently",279,"Research & Development",8,1,"Life Sciences",1,2,3,"Male",61,2,2,"Research Scientist",2,"Married",5130,24907,1,TRUE,FALSE,23,4,4,80,1,10,3,3,10,7,1,7,39,0,3.33993466752718,0,0,0,0.00126923076923077,0.00217832167832168,0.00217832167832168,0.00313286713286713,0.00313286713286713,0.00816400266400266
37,TRUE,"Travel_Rarely",1373,"Research & Development",2,2,"Other",1,4,4,"Male",92,2,1,"Laboratory Technician",3,"Single",2090,2396,6,TRUE,TRUE,15,3,2,80,0,7,3,3,0,0,0,0,30,7,42.9407078020224,0.0806469578765483,0.0806469578765483,0.0806469578765483,0.322604648337175,0.437736351339757,0.643121120681182,0.810998046043401,0.810998046043401,1.1331809464763
33,FALSE,"Travel_Frequently",1392,"Research & Development",3,4,"Life Sciences",1,5,4,"Female",56,3,1,"Research Scientist",3,"Married",2909,23159,1,TRUE,TRUE,11,3,3,80,0,8,3,3,8,7,3,0,25,0,11.6322387556104,0.026484290114758,0.026484290114758,0.026484290114758,0.124956796524502,0.184518445612988,0.230923339910297,0.280491227689872,0.280491227689872,0.44303107101648
27,FALSE,"Travel_Rarely",591,"Research & Development",2,1,"Medical",1,7,1,"Male",40,3,1,"Laboratory Technician",2,"Married",3468,16632,9,TRUE,FALSE,12,3,4,80,1,6,3,3,2,2,2,2,21,4,6.35956746097491,0.00318172659701895,0.00318172659701895,0.00318172659701895,0.0629886615735256,0.115682367536652,0.140973292083382,0.229471486699223,0.229471486699223,0.245086677064414
32,FALSE,"Travel_Frequently",1005,"Research & Development",2,2,"Life Sciences",1,8,4,"Male",79,3,1,"Laboratory Technician",4,"Single",3068,11864,0,TRUE,FALSE,13,3,3,80,0,8,2,2,7,7,3,6,24,1,14.1292992528747,0.0122194843067801,0.0122194843067801,0.0122194843067801,0.0462636754107909,0.0708518763399226,0.0726911620542083,0.08368232367037,0.08368232367037,0.116412056355985
59,FALSE,"Travel_Rarely",1324,"Research & Development",3,3,"Medical",1,10,3,"Female",81,4,1,"Laboratory Technician",1,"Married",2670,9964,4,TRUE,TRUE,20,4,1,80,3,12,3,2,1,0,0,0,47,11,14.717113275986,0.0191757774027323,0.0191757774027324,0.0191757774027324,0.139085166824303,0.223818758638928,0.337710758580851,0.372276165396257,0.372276165396257,0.537560381180473
30,FALSE,"Travel_Rarely",1358,"Research & Development",24,1,"Life Sciences",1,11,4,"Male",67,3,1,"Laboratory Technician",3,"Divorced",2693,13335,1,TRUE,FALSE,22,4,2,80,1,1,2,3,1,0,0,0,29,0,5.36730500869338,0.000384615384615385,0.000384615384615385,0.000384615384615385,0.0138319595058725,0.0237012353990615,0.0252012353990615,0.0258262353990615,0.0258262353990615,0.0258262353990615
38,FALSE,"Travel_Frequently",216,"Research & Development",23,3,"Life Sciences",1,12,4,"Male",44,2,3,"Manufacturing Director",3,"Single",9526,8787,0,TRUE,FALSE,21,4,2,80,0,10,2,3,9,7,1,8,28,1,2.44247097848573,4e-04,4e-04,4e-04,0.0041527640941434,0.00542088003617239,0.00542088003617239,0.00938518370635841,0.00938518370635841,0.00938518370635841
36,FALSE,"Travel_Rarely",1299,"Research & Development",27,3,"Medical",1,13,3,"Male",94,3,2,"Healthcare Representative",3,"Married",5237,16577,6,TRUE,FALSE,13,3,2,80,2,17,3,2,7,7,7,7,19,10,1.00551406884915,0,0,0,0.00174542124542125,0.00288502238502238,0.00288502238502238,0.0065014726014726,0.0065014726014726,0.0154476514226514
35,FALSE,"Travel_Rarely",809,"Research & Development",16,3,"Medical",1,14,1,"Male",84,4,1,"Laboratory Technician",2,"Married",2426,16479,0,TRUE,FALSE,13,3,3,80,1,6,5,3,5,4,0,3,29,1,6.35956746097491,0.0025352619505543,0.0025352619505543,0.0025352619505543,0.0912290047080537,0.130166826788981,0.164423563301522,0.240775701359542,0.240775701359542,0.251636812470654
31,FALSE,"Travel_Rarely",670,"Research & Development",26,1,"Life Sciences",1,16,1,"Male",31,3,1,"Research Scientist",3,"Divorced",2911,15170,1,TRUE,FALSE,17,3,4,80,1,5,1,2,5,2,4,3,26,0,2.81881561595687,0,0,0,0.023249911439756,0.0407269643258478,0.0496108222549843,0.0637255953387976,0.0637255953387976,0.0655437771569795
34,FALSE,"Travel_Rarely",1346,"Research & Development",19,2,"Medical",1,18,2,"Male",93,3,1,"Laboratory Technician",4,"Divorced",2661,8758,0,TRUE,FALSE,11,3,3,80,1,3,2,3,2,2,1,2,31,1,5.36730500869338,0.00138461538461538,0.00138461538461538,0.00138461538461538,0.021942311915138,0.0428992175698697,0.0443992175698697,0.0552315739389908,0.0552315739389908,0.0560008047082216
